Paese,Valuta,Codice ISO,Codice UIC,Euro,Dollaro USA,Convenzione di cambio contro Dollaro,Convenzione di cambio contro Euro,Data di riferimento (CET)
AFGHANISTAN,Afghani,AFN,115,79.3684,72.9355,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
ALBANIA,Lek,ALL,047,103.61,95.21,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
ALGERIA,Dinaro Algerino,DZD,106,146.3965,134.5309,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
ANGOLA,Readjustado Kwanza,AOA,087,911.412,837.541,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
ANTIGUA E BARBUDA,Dollaro Caraibi Est,XCD,137,2.9381,2.70,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
ANTILLE OLANDESI,Fiorino Antille Olandesi,ANG,132,1.9479,1.79,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
ARABIA SAUDITA,Riyal Saudita,SAR,075,4.0808,3.75,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
ARGENTINA,Peso Argentina,ARS,216,889.8848,817.7585,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
ARMENIA,Dram Armenia,AMD,246,440.48,404.78,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
ARUBA,Fiorino Aruba,AWG,211,1.9479,1.79,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
AUSTRALIA,Dollaro Australiano,AUD,109,1.6484,0.6602,Quantita' di Dollari per 1 unita' di valuta estera,Quantita' di valuta estera per 1 Euro,2024-01-16
AZERBAIGIAN,Manat Azerbaigian (nuovo),AZN,271,1.8499,1.7000,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
BAHAMAS,Dollaro Bahama,BSD,135,1.0882,1,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
BAHRAIN,Dinaro Bahrain,BHD,136,0.409,0.376,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
BANGLADESH,Taka,BDT,174,119.7020,110.0000,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
BARBADOS,Dollaro Barbados,BBD,195,2.176400,2,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
BELIZE,Dollaro Belize,BZD,152,2.1764,2,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
BENIN,Franco CFA,XOF,209,655.957,602.791,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
BERMUDA,Dollaro Bermuda,BMD,138,1.0882,1,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
BHUTAN,Ngultrum,BTN,180,90.4250,83.0959,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
BIELORUSSIA,Rublo Bielorussia (nuovo),BYN,280,N.D.,N.D.,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
BOLIVIA,Boliviano,BOB,074,7.5195,6.91,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
BOSNIA ERZEGOVINA,Marco Convertibile,BAM,240,1.95583,1.797307,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
BOTSWANA,Pula,BWP,171,14.7453,0.0738,Quantita' di Dollari per 1 unita' di valuta estera,Quantita' di valuta estera per 1 Euro,2024-01-16
